query_type,query,rank_from,rank_to,results_in_bucket,semantic_score_max,semantic_score_mean,semantic_score_median,semantic_score_min,semantic_ratio_mean,semantic_ratio_median,keyword_score_max,keyword_score_mean,keyword_score_median,keyword_score_min,keyword_ratio_mean,keyword_ratio_median,strict_retained,balanced_retained,permissive_retained
broad,transport,11,25,15,0.5190809369087219,0.4803337872028351,0.47832125425338745,0.4467571973800659,0.9250691104479202,0.9211931972498622,0.25561097264289856,0.19006497065226238,0.186224102973938,0.1429075449705124,0.6558161443772903,0.6425632918226206,15,15,15
broad,transport,26,50,25,0.47792354226112366,0.44100540757179263,0.44049277901649475,0.39013686776161194,0.8493270532994743,0.848339788080425,0.2497800886631012,0.15678252607584,0.15779340267181396,0.04520445689558983,0.5409756011532864,0.544463614695907,25,25,25
broad,transport,51,100,50,0.46004700660705566,0.4195444470643997,0.42045655846595764,0.37532681226730347,0.8079956454850404,0.8097522699519183,0.28981441259384155,0.12669945031404495,0.11858862265944481,0.0,0.43717442890463504,0.40918814767725176,50,50,50
broad,transport,101,200,100,0.4188043773174286,0.3785162663459778,0.39173945784568787,0.30511659383773804,0.728979961700839,0.7544463484589994,0.17487967014312744,0.11903478039428592,0.10318281501531601,0.0,0.41072760781261214,0.35603065455519933,100,100,100
broad,transport,201,300,100,0.38959231972694397,0.35737173378467557,0.36760449409484863,0.29237550497055054,0.6882579586928328,0.7079651096985589,0.17181804776191711,0.11647655718494207,0.10318281501531601,0.005059001501649618,0.40190049950406487,0.35603065455519933,100,100,100
broad,transport,301,500,200,0.3819548487663269,0.33493479400873183,0.3428453505039215,0.21266773343086243,0.6450469240484156,0.6602817704304856,0.15955989062786102,0.0954488247493282,0.10318281501531601,0.0,0.32934464471611463,0.35603065455519933,200,200,200
broad,transport,501,750,250,0.354068398475647,0.2978556491136551,0.30064496397972107,0.16317647695541382,0.5736366412448581,0.5790085494692139,0.12370195984840393,0.07778253016062081,0.10318281501531601,0.0,0.26838737750985703,0.35603065455519933,230,250,250
broad,transport,751,1000,250,0.3194637894630432,0.2674644596576691,0.2756280452013016,0.06327760219573975,0.5151066120349178,0.5308287640427769,0.10696694999933243,0.02829593177884817,0.023879796266555786,0.0,0.09763466049048193,0.08239685546633585,52,214,250
broad,health,1,10,10,0.4293585419654846,0.4006043702363968,0.4040835052728653,0.373945951461792,0.896747192589089,0.9045351869505843,0.24387337267398834,0.19375769793987274,0.18953489512205124,0.14583605527877808,0.5548845820725998,0.5427912913199969,10,10,10
broad,health,11,25,15,0.4467305541038513,0.3793787201245626,0.3794028162956238,0.34551966190338135,0.8492338763029146,0.8492878152395731,0.29915958642959595,0.19251520882050197,0.1865420788526535,0.04589782655239105,0.5513263334813838,0.5342204442129046,15,15,15
broad,health,26,50,25,0.392889142036438,0.3446428096294403,0.34883344173431396,0.295498251914978,0.771478034048509,0.780858704491524,0.349185585975647,0.15215581730008126,0.13322830200195312,0.0,0.4357448400252494,0.38154009602001376,25,25,25
broad,health,51,100,50,0.3467811644077301,0.31686723679304124,0.3250712901353836,0.24051214754581451,0.7093028087785086,0.7276674656549558,0.23619258403778076,0.13775106601417064,0.13928046077489853,0.0,0.39449241763312,0.3988723085053467,50,50,50
broad,health,101,200,100,0.3324427604675293,0.2672711995244026,0.2671215832233429,0.21294790506362915,0.59828278381485,0.597947869850078,0.19094468653202057,0.1075275032222271,0.11915480718016624,0.0,0.3079379777999379,0.34123632808966053,72,100,100
broad,health,201,300,100,0.2793826758861542,0.24147152740508318,0.24479717761278152,0.04639609530568123,0.5405305842343355,0.5479750049867276,0.1605779230594635,0.04165789908729493,0.034821782261133194,0.0,0.11930016804931994,0.09972285128505204,13,53,100
broad,health,301,500,200,0.24761039018630981,0.20790778074413538,0.21392101049423218,0.12312541157007217,0.46539861407331257,0.4788591434569797,0.13371452689170837,0.017497809850610793,0.0,0.0,0.05011034405020123,0.0,13,20,177
broad,health,501,750,250,0.2085113227367401,0.1840328780412674,0.1897522285580635,0.06340278685092926,0.41195498349209697,0.4247576683862816,0.09766591340303421,0.003767378785647452,0.0,0.0,0.01078904438486816,0.0,2,3,68
broad,health,751,1000,250,0.17783650755882263,0.14891142809391023,0.16861573606729507,0.0074551403522491455,0.33333611665006646,0.377443930168468,0.029865426942706108,0.002261902317404747,0.0,0.0,0.00647765087749784,0.0,0,0,0
